rules,support,confidence,lift
{butterrubbing alcohol} => {whole milk},0.000508388,1,3.913649025
{whole milkrubbing alcohol} => {butter},0.000508388,0.833333333,15.0382263
{citrus fruitrubbing alcohol} => {whole milk},0.000508388,1,3.913649025
{whole milkrubbing alcohol} => {citrus fruit},0.000508388,0.833333333,10.06859132
{whipped/sour creamfrozen fruits} => {other vegetables},0.000610066,1,5.168155544
{root vegetableshoney} => {whole milk},0.000508388,1,3.913649025
{rolls/bunssoap} => {whole milk},0.000508388,0.833333333,3.261374188
{ready soupsbottled water} => {rolls/buns},0.000508388,0.833333333,4.530587802
{yogurttidbits} => {rolls/buns},0.000508388,1,5.436705362
{baking powdercooking chocolate} => {whole milk},0.000711744,1,3.913649025
{curdcooking chocolate} => {whole milk},0.000508388,0.833333333,3.261374188
{bottled watercooking chocolate} => {whole milk},0.000508388,0.833333333,3.261374188
{other vegetablescooking chocolate} => {whole milk},0.000610066,0.857142857,3.354556307
{tropical fruitbathroom cleaner} => {other vegetables},0.000508388,0.833333333,4.306796287
{potato productsfruit/vegetable juice} => {whole milk},0.000711744,1,3.913649025
{porksyrup} => {other vegetables},0.000508388,1,5.168155544
{canned fruitmisc. beverages} => {domestic eggs},0.000508388,0.833333333,13.13434829
{canned fruitmisc. beverages} => {citrus fruit},0.000508388,0.833333333,10.06859132
{canned fruithygiene articles} => {whole milk},0.000508388,0.833333333,3.261374188
{cream cheese meat spreads} => {yogurt},0.000915099,0.818181818,5.865027829
{chickenskin care} => {whole milk},0.000508388,0.833333333,3.261374188
{whipped/sour creamskin care} => {whole milk},0.000508388,0.833333333,3.261374188
{whipped/sour creamsparkling wine} => {other vegetables},0.000508388,1,5.168155544
{beefabrasive cleaner} => {whole milk},0.000610066,1,3.913649025
{tropical fruitabrasive cleaner} => {other vegetables},0.000508388,0.833333333,4.306796287
{whipped/sour creamphoto/film} => {whole milk},0.000508388,0.833333333,3.261374188
{soft cheesecurd cheese} => {whole milk},0.000508388,1,3.913649025
{onionscurd cheese} => {rolls/buns},0.000508388,1,5.436705362
{curd cheesehygiene articles} => {tropical fruit},0.000508388,0.833333333,7.941698966
{curd cheesehygiene articles} => {yogurt},0.000508388,0.833333333,5.973639456
{curd cheesehygiene articles} => {other vegetables},0.000508388,0.833333333,4.306796287
{curd cheesehygiene articles} => {whole milk},0.000508388,0.833333333,3.261374188
{curd cheesefrozen vegetables} => {whole milk},0.000610066,1,3.913649025
{curd cheesefruit/vegetable juice} => {tropical fruit},0.000610066,0.857142857,8.168604651
{curd cheesefruit/vegetable juice} => {other vegetables},0.000610066,0.857142857,4.429847609
{curd cheesepastry} => {whole milk},0.000508388,1,3.913649025
{domestic eggsspices} => {root vegetables},0.000508388,0.833333333,7.645366915
{chickencleaner} => {other vegetables},0.000508388,0.833333333,4.306796287
{coffeecleaner} => {whole milk},0.000508388,1,3.913649025
{citrus fruitcleaner} => {other vegetables},0.000508388,0.833333333,4.306796287
{root vegetablescleaner} => {whole milk},0.000711744,0.875,3.424442897
{sausagesoftener} => {whole milk},0.000813421,0.8,3.13091922
{frozen vegetableszwieback} => {tropical fruit},0.000508388,0.833333333,7.941698966
